variable,importance
C4.4..Very.unfavorable,0.03546493168384852
C242_HID.2..Democratic.Party,0.026022194112682494
L46.2..Democrat,0.02591731846823255
C25.2..Democrat,0.02404072482442047
L266.2..Democrats,0.021410095509169842
C2.4..Very.unfavorable,0.019630279224393313
C9.4..Very.unfavorable,0.017470735733282002
C4.2..Somewhat.favorable,0.012459467332673824
C3.4..Very.unfavorable,0.012050959797459541
L267.2..Democrats,0.00954531253250127
C337.2..Increase,0.009244724237031902
C158.02..Should.not,0.008594446890910356
C228.5..Strongly.oppose,0.0085725424171822
C41.5..Strongly.disagree,0.00853820788084343
BL229.04..Not.at.all.effective,0.006883521322924798
BLA207.4..Strongly.disagree,0.006697855088807443
C142.3..Bothers.me.a.lot,0.005398670870206181
C40.5..Strongly.disagree,0.003983335258069982
C5.4..Very.unfavorable,0.003812016923717341
C111.4..Never,0.0036024876399519384
BL155.2..Racism.exists.today.but.is.not.a.major.problem,0.00359496347300703
C38.3..They.should.be.required.to.leave.their.jobs.and.immediately.leave.the.U.S.,0.003335406194625301
BLA206.4..Strongly.disagree,0.0033234815914196403
C31.5..Very.Conservative,0.003166328808967391
C2.3..Somewhat.unfavorable,0.0031216733089441647
C45.5..Strongly.disagree,0.002927984221178404
C8.4..Very.unfavorable,0.0029008570294014567
LA204.4..Strongly.support.Republicans,0.0026439930579624667
C248.3..A.little,0.002616796388967691
C247.3..A.little,0.0026095648506422884
C115.4..Never,0.0024367451370692662
L232.4..Not.at.all.worried,0.002410620679828454
C114.4..Never,0.0023505601017650883
L195_3,0.0023410040165422093
LA203.4..Strongly.support.Republicans,0.0023120623975117533
L293.11..10...Extremely.favorable,0.0022867162899306574
BL174.5..Strongly.disagree,0.002099700167503562
BLA207.2..Somewhat.agree,0.002072973919850319
C337.3..Stay.the.same,0.002066627629835699
C112.4..Never,0.0020541002122469944
C5.2..Somewhat.favorable,0.0020239735238486473
C246.3..A.little,0.0020078972464164803
L231.4..Often.treated.unfairly,0.00198430736760715
BL175.5..Strongly.disagree,0.001960907819874443
L241.5..Strongly.oppose,0.0019171503634803685
S6,0.0018963138331958293
L366.5..Not.at.all.worried,0.0018944044878503625
C113.4..Never,0.0018850021486697588
C45.4..Disagree,0.0018652049224107835
BL89.4..No,0.0018009536922822165
SC2011_PERCENTEDUCAA,0.0017837219442762462
C3.3..Somewhat.unfavorable,0.001779158401157853
DP2010_NUMBERAMERICANINDIANALASK,0.0017765573057543396
SC2000_PERCENTEDUCAA,0.001748772703610446
SC2011_PERCENTEDUCSOMECOLLEGE,0.0017386538768314327
AGE,0.0017260628039806464
C41.3..Neither.agree.nor.disagree,0.0017077411631343238
HC2015_PERCENTHOUSESBUILTBEFORE1,0.0017072348845334835
SC2015_PERCENTNATIVEBORN,0.0016671830828507627
DP2015_PERCENTMALE,0.0016557215506889916
DP2010_NUMBFEMALE,0.0016547652815161156
DP2010_PERCENTOTHERRACE,0.0016539641516911932
DP2000_NUMBAMERICANINDIANALASKAN,0.0016461225501493693
SC2011_PERCENTNOTCITIZEN,0.0016423606746945878
DP2010_NUMBMEXICAN,0.0016317272894922346
C349_1,0.0016299021568372024
DP2015_PERCENTOTHERRACE,0.001619487964989389
EC2015_PERCENTINC75K_99K,0.0016047714459523881
DP2000_TOTALNUMBHOUSEHOLDS,0.001598562372439199
SC2000_PERCENTEDUCHIGHSCHOOLGRAD,0.0015919491330160143
L267.4..Neither.party.is.better.than.the.other,0.0015878639860158284
DP2015_NUMBEROTHERRACE,0.0015841558315161123
EC2015_PERCENTINC50K_74K,0.0015651545434861827
DP2000_PERCENTRENTALVACANCY,0.0015492514242974927
DP2015_NUMBWHITENONHISP,0.0015454975975403692
L294.09..8,0.0015442813392423558
L46.3..Neither.party.is.better.than.the.other,0.0015416443027078425
DP2000_NUMBOTHERRACE,0.0015382485659862694
DP2010_PERCENTRENTALVACANCY,0.0015355732985156097
DP2000_PERCENTOTHERRACE,0.001514389248782377
DP2000_PERCENTHOUSEHOLDSSINGLEFE,0.0015137335066994805
EC2000_PERCENTCOMMUTEALONE,0.0014935154614976582
