variable,mean_abs_shap
C6.4..Very.unfavorable,0.05156124208092576
C15.2..Republican.candidate.for.Congress,0.031107642503470468
C4.4..Very.unfavorable,0.028572944325435227
L46.2..Democrat,0.018961664084447754
C6.2..Somewhat.favorable,0.01832029995412917
C242_HID.2..Democratic.Party,0.01779275389753385
L266.2..Democrats,0.014689114832647239
C25.2..Democrat,0.014230865443490963
C2.4..Very.unfavorable,0.014154963236586066
C7.4..Very.unfavorable,0.010915606221366682
C9.4..Very.unfavorable,0.010534574406000492
C4.2..Somewhat.favorable,0.008538587400775502
BLA207.4..Strongly.disagree,0.00834916070323805
C337.2..Increase,0.008007079609152189
C158.02..Should.not,0.007968571881402424
C3.4..Very.unfavorable,0.007062011867318315
L267.2..Democrats,0.006334911699833574
C41.5..Strongly.disagree,0.005679171998178288
BL229.04..Not.at.all.effective,0.004713119544717901
C7.2..Somewhat.favorable,0.0042924643210834204
C142.3..Bothers.me.a.lot,0.004262400788211765
C228.5..Strongly.oppose,0.0038145658100954337
BLA206.4..Strongly.disagree,0.003682390390329989
C111.4..Never,0.0035612930649232483
BL174.5..Strongly.disagree,0.0027636109960718523
C40.5..Strongly.disagree,0.0027446597494708135
C8.4..Very.unfavorable,0.0026832157609509954
C5.4..Very.unfavorable,0.002673713839727523
C114.4..Never,0.0025178814420554643
C38.3..They.should.be.required.to.leave.their.jobs.and.immediately.leave.the.U.S.,0.0025081200412876187
L195_3,0.0022380888176241594
BL155.2..Racism.exists.today.but.is.not.a.major.problem,0.002112487535360774
C248.3..A.little,0.002025062181608786
BL175.5..Strongly.disagree,0.0020044231635022274
C112.4..Never,0.0019743045121098776
C31.5..Very.Conservative,0.001949757966304412
C337.3..Stay.the.same,0.001923411303632928
C2.3..Somewhat.unfavorable,0.0018721761861736832
C45.5..Strongly.disagree,0.0018485987586629733
C115.4..Never,0.0018013131944279337
L293.11..10...Extremely.favorable,0.0017501510333048703
BLA207.2..Somewhat.agree,0.0016859107497733
C113.4..Never,0.0016644161457456633
BL89.4..No,0.0016554248330079388
L232.4..Not.at.all.worried,0.001639335189612078
LA204.4..Strongly.support.Republicans,0.0016117340237099022
LA203.4..Strongly.support.Republicans,0.001591148684864249
C247.3..A.little,0.0015439658883910016
C5.2..Somewhat.favorable,0.0015331415347859714
L366.5..Not.at.all.worried,0.001500504118520726
C3.3..Somewhat.unfavorable,0.0014480315431494696
L241.5..Strongly.oppose,0.0014356296884092763
C6.3..Somewhat.unfavorable,0.0013665856244015505
C338.2..Increase,0.0013481295567536503
C15.3..Someone.else,0.0013363294730445198
C339.2..Increase,0.001312279210405466
L268.2..A.major.problem,0.001304638540311712
C11.4..Very.unfavorable,0.0012465220652012232
C130.2..No,0.0012371394250818633
L267.4..Neither.party.is.better.than.the.other,0.0011784349758227487
L268.5..Not.a.problem.at.all,0.0011323651727363783
C246.3..A.little,0.00112339784012447
C129.3..Christian,0.0010905904225686869
L294.09..8,0.0010824984372880529
BL96.4..No,0.0010824167398309874
C31.4..Somewhat.Conservative,0.0010672534625734767
BL173.5..Strongly.disagree,0.0010442032480933608
C31.2..Somewhat.Liberal,0.0010129532036540598
C41.2..Agree,0.0009714799101232861
C45.4..Disagree,0.0009648979524111712
C9.2..Somewhat.favorable,0.0008955958557996179
L231.4..Often.treated.unfairly,0.0008780613000842671
BLA191.04..Not.at.all,0.0008763029601390005
C256.2..No,0.0008755505439533751
L301.5..Strongly.Disagree,0.0008647541184114335
C3.2..Somewhat.favorable,0.0008527506129285518
C109.4..Not.at.all.as.an.outsider,0.0008441674832040264
C243.4..None.at.all,0.0008294995865392675
DP2015_NUMBEROTHERRACE,0.0008163839713415095
L266.4..Neither.party.is.better.than.the.other,0.0007969089688236789
L219.4..Somewhat.agree,0.0007720087675730012
C115.2..Often,0.0007596358547532843
BL174.2..Agree,0.000754343219797739
C41.3..Neither.agree.nor.disagree,0.0007497290423859192
C110.4..Never,0.0007471974660345163
C56.2..No,0.0007464030040272882
BL88.3..Maybe,0.0007337169964188724
C150.2..No,0.0007289462470894162
BL229.02..Somewhat.effective,0.0007274861809628211
L300.4..Somewhat.oppose,0.0007228387000820493
DP2010_NUMBMEXICAN,0.0007222600394654007
C7.5..Not.familiar.with.them,0.0007155187760556367
L46.3..Neither.party.is.better.than.the.other,0.000712717923432852
DP2015_NUMBASIANFILIPINO,0.0007126195237514792
C141.4..Somewhat.support.deporting.these.immigrants,0.0006981711496162339
LA250.3..A.little,0.0006942368845887245
C255.2..No,0.0006930039323608276
DP2015_NUMBASIANOTHER,0.0006887980404630154
AGE,0.0006817560617539222
DP2010_TOTALPOPULATION,0.0006809243833894663
C8.3..Somewhat.unfavorable,0.000674584905736781
S6,0.0006706262694459453
C112.2..Often,0.0006693930967396778
DP2010_NUMBERAMERICANINDIANALASK,0.0006609264057733437
L302.04..Not.at.all,0.0006583349290799639
DP2015_PERCENTOTHERRACE,0.0006583263441379523
C142.4..Bothers.me.a.little,0.0006553793306283246
C349_1,0.0006528429669105069
L21.5..Not.at.all,0.0006497952685232756
EC2015_PERCENTLABORFORCE,0.0006435411651487201
DP2010_PERCENTSINGLEMOTHERHOUSEH,0.0006371625545279119
C244.3..A.little,0.0006292025110841743
SC2011_PERCENTNOTCITIZEN,0.0006192911042739028
BLA205.3..Somewhat.disagree,0.0006140667409911249
DP2000_PERCENTOTHERRACE,0.0006087863781164297
BLA190.04..Not.at.all,0.0006087304174669228
DP2000_NUMBOTHERRACE,0.0006065284657406122
L195_2,0.0006014335819956879
DP2000_NUMBWHITENONHISP,0.0005953527468208166
C44.3..Neither.agree.nor.disagree,0.0005943972514927633
SC2015_PERCENTNOTCITIZEN,0.0005927036730485749
DP2015_NUMBAMERICANINDIANALASKAN,0.0005899456674594007
C74.04..Not.at.all.important,0.0005866810671798559
C287.4..Poor.job,0.0005791944884527179
SC2000_PERCENTEDUCSOMECOLLEGE,0.000578195726242728
EC2011_PERCENTCOMMUTINGALONE,0.0005772454714280622
DP2010_TOTALHOUSINGUNITS,0.0005730016490287796
DP2010_TOTALHOUSEHOLD,0.0005729045960833338
DP2015_NUMBMEXICAN,0.0005651535479145126
C33.4..Not.at.all.interested.in.politics,0.0005644085453087807
BL95.4..No,0.0005635349380707173
DP2000_NUMBAMERICANINDIANALASKAN,0.0005632142149000316
DP2000_NUMBMEXICAN,0.0005588938971600632
C349_2,0.0005556444834264512
C1_10,0.0005530820177882819
DP2010_NUMBHAWAIIANPACIFICISLAND,0.0005493743806624477
SC2000_PERCENTEDUCAA,0.0005466637458800969
C389.2..Homeowner,0.0005398194354666939
L230.02..No,0.0005391534287365711
DP2015_PERCENTMEXICAN,0.0005389672760346418
EC2000_PERCENTNOTLABORFORCE,0.0005348390776076024
DP2010_PERCENTRENTALVACANCY,0.0005335497790365574
C349_3,0.0005333767145705841
DP2000_PERCENTMEXICAN,0.0005257768212981402
DP2010_NUMBOTHERRACE,0.0005232389191645211
EC2015_PERCENTINC10K_14K,0.0005231554973316391
BL175.2..Agree,0.0005221418177410097
EC2015_PERCENTINC75K_99K,0.0005207462480010902
SC2015_PERCENTFOREIGNBORN,0.0005196542733338288
SC2011_PERCENTEDUCSOMECOLLEGE,0.0005185422706336487
DP2010_PERCENT18OLDER,0.0005178728747176073
HC2000_PERCENTHOUSESBUILTBEFORE1,0.0005154346070104281
DP2010_NUMBFEMALE,0.0005149874800485938
DP2010_NUMBPUERTORICAN,0.0005140332499439205
C110.2..Very.often,0.0005109922820116061
C228.4..Somewhat.oppose,0.00050756882504044
BLA146.3..Will.not.achieve.racial.equality.in.your.lifetime,0.0005059435991947011
HISP2015_NUMBSALVADORAN,0.0005037044641939835
DP2010_PERCENTHOUSEHOLDW65YEARSO,0.000503165768895533
DP2015_PERCENT18OLDER,0.0005007623092762765
SC2011_PERCENTEDUCAA,0.0005005416933567591
SC2000_PERCENTEDUCHIGHSCHOOLGRAD,0.0004987833510284232
BLA208.4..Strongly.disagree,0.0004965434055200592
HISP2010_NUMBCENTAMERICAN,0.0004917831662879697
DP2000_NUMBERHAWAIIANPACIFICISLA,0.0004879856045650881
EC2015_PERCENTINC50K_74K,0.0004859863690580199
DP2000_PERCENTWHITENONHISP,0.0004838130596207098
DP2000_PERCENTOTHERHISP,0.00048378646550361986
DP2000_NUMBASIANFILIPINO,0.0004834159919252433
DP2015_NUMBOTHERHISP,0.00048315518296240237
DP2000_PERCENTRENTALVACANCY,0.0004826257656294771
SC2011_PERCENTFOREIGNBORN,0.00048171171359724467
DP2000_PERCENTHOUSEHOLDSVACANT,0.0004812992481165055
DP2000_PERCENTWHITE,0.00048093602441731003
DP2015_NUMBASIANVIETNAMESE,0.0004808491569630643
SC2011_PERCENTEDUC9_12NODIP,0.000480476379260301
C84.88..Don.t.Know,0.00047944500954004264
DP2000_NUMBNONHISP,0.000479363434366031
EC2015_NUMBLABORFORCE,0.00047862329910440597
EC2011_PERCENTNOTLABORFORCE,0.00047721829382575546
DP2000_PERCENTHOUSEHOLDFAMILIES,0.00047672002272281883
EC2011_PERCENTCOMMUTINGWALKING,0.0004764523166654168
